Dấu thời gian,Bạn thuộc nhóm độ tuổi nào sau đây?,Giới tính của bạn là gì?,Hiện bạn đang sinh sống làm việc/học tập tại khu vực nào?,Bạn thường nghe dòng nhạc gì?,Bạn đã biết gì về công ty SpaceSpeakers?,Bạn từng xem/nghe và cảm thấy ấn tượng nhất với sản phẩm nào do công ty SpaceSpeakers phát hành? Vì sao?,Bạn biết đến SSLabel qua phương tiện nào?,"Ngoài những sản phẩm âm nhạc, bạn còn biết đến những sản phẩm nào khác của SpaceSpeakers?",Bạn đã từng biết đến hoặc tham gia sự kiện/chương trình nào có sự góp mặt của SpaceSpeaker?,Bạn quan tâm đến nghệ sĩ nào đang trực thuộc SSLabel?,"Là một người hâm mộ, bạn có theo dõi và mong chờ những sản phẩm tiếp theo của nghệ sĩ đó không?","Nếu có, bạn mong chờ sản phẩm đó như thế nào? (Ví dụ: thể loại nhạc, nội dung MV, phong cách mới, v.v... )",Bạn đã từng trải nghiệm các loại hình xuất bản âm nhạc dưới dạng vật lý nào?,"Theo sở thích cá nhân, bạn sẽ lựa chọn định dạng xuất bản nào?",Vì sao bạn lựa chọn định dạng đó?,"Nếu nghệ sĩ mà bạn thần tượng xuất bản album mới theo các định dạng vật lý, bạn có sẵn sàng mua không?",Yếu tố ảnh hưởng: [chất lượng âm thanh] ,Yếu tố ảnh hưởng: [Giá trị sưu tầm],yếu tố ảnh hưởng: [Ủng hộ nghệ sĩ yêu thích],"Yếu tố ảnh hưởng: [Thiết kế, hình thức sản phẩm]","Bạn cảm thấy thế nào nếu SpaceSpeakers phát hành thêm album dưới dạng đĩa than, đĩa CD hoặc băng cassette?","Bạn sẽ cân nhắc mua album vật lý của SpaceSpeakers với điều kiện nào?
Hãy xếp hạng theo thang từ 1 đến 5. 
1- thực sự không quan trọng
2- không quan trọng
3- bình thường
4- quan trọng
5- rất quan trọng [Có chữ ký của nghệ sĩ]","Bạn sẽ cân nhắc mua album vật lý của SpaceSpeakers với điều kiện nào?
Hãy xếp hạng theo thang từ 1 đến 5. 
1- thực sự không quan trọng
2- không quan trọng
3- bình thường
4- quan trọng
5- rất quan trọng [Có quà tặng kèm( poster, stickers, photobook,etc.)]","Bạn sẽ cân nhắc mua album vật lý của SpaceSpeakers với điều kiện nào?
Hãy xếp hạng theo thang từ 1 đến 5. 
1- thực sự không quan trọng
2- không quan trọng
3- bình thường
4- quan trọng
5- rất quan trọng [Thiết kế bìa đẹp, độc đáo, bắt mắt]","Bạn sẽ cân nhắc mua album vật lý của SpaceSpeakers với điều kiện nào?
Hãy xếp hạng theo thang từ 1 đến 5. 
1- thực sự không quan trọng
2- không quan trọng
3- bình thường
4- quan trọng
5- rất quan trọng [Giá thành rẻ, dễ tiếp cận]","Bạn sẽ cân nhắc mua album vật lý của SpaceSpeakers với điều kiện nào?
Hãy xếp hạng theo thang từ 1 đến 5. 
1- thực sự không quan trọng
2- không quan trọng
3- bình thường
4- quan trọng
5- rất quan trọng [Mã QR đi kèm video hậu trường/ behind the scenes]","Nếu SpaceSpeakers xuất bản album vật lý bản giới hạn, bạn nghĩ số lượng bao nhiêu sẽ tạo cảm giác ""đáng sưu tầm""?",Bạn sẵn lòng bỏ ra bao nhiêu tiền cho một sản phẩm?
23/05/2025 22:38:50,Từ 18 đến 30 tuổi,Nam,Miền Bắc,"Hip- hop, Pop",sx am nhac,giá như,"Mạng xã hội( facebook, instagram, twitter,... ), Quảng cáo, Qua các sản phẩm trên các nền tảng giải trí số","Các concert và event, Các sản phẩm hợp tác với các brand khác","Anh trai vượt ngàn chông gai, Rap Việt","Soobin Hoàng Sơn, Touliver, Rhymastic, Binz, JustaTee",có sản phẩm hay là đc,,"Đĩa CD, Băng cassette",Đĩa CD,vì tiện lợi,Rất sẵn lòng,"Chất lượng âm thanh, Giá trị sưu tầm, Ủng hộ nghệ sĩ yêu thích, Thiết kế, hình thức sản phẩm",,,,Khá tò mò - sẽ cân nhắc,"Có chữ ký nghệ sĩ, phiên bản giới hạn, Có quà tặng kèm( poster, stickers, photobook,etc.), Thiết kế bìa đẹp, độc đáo, bắt mắt, Giá thành rẻ, dễ tiếp cận, Mã QR đi kèm video hậu trường/ behind the scenes",,,,,Dưới 100 bản,500k đến 1 triệu
23/05/2025 22:46:56,Trên 30 tuổi,Nữ,Miền Bắc,Pop,là một công ty chuyên sản xuất âm nhạc ,áo bigcityboy vì mặc vào nhìn ngầu op,"Mạng xã hội( facebook, instagram, twitter,... ), Quảng cáo, Qua các sản phẩm trên các nền tảng giải trí số","Merchandise( quần áo, phụ kiện, etc.), Các concert và event, Các sản phẩm hợp tác với các brand khác","Anh trai vượt ngàn chông gai, 5AM Music Event, ALL-ROUNDER, Rap Việt, Beck' Stage","Soobin Hoàng Sơn, Binz",có và tôi muốn 1 sản phẩm âm nhạc mới,,"Đĩa CD, Băng cassette",Đĩa CD,vì có thể dễ bảo quản dễ dùng,Có thể mua thử,"Chất lượng âm thanh, Giá trị sưu tầm, Ủng hộ nghệ sĩ yêu thích, Thiết kế, hình thức sản phẩm",,,,Không cần thiết - nghe online là đủ,"Có chữ ký nghệ sĩ, phiên bản giới hạn, Có quà tặng kèm( poster, stickers, photobook,etc.), Thiết kế bìa đẹp, độc đáo, bắt mắt, Giá thành rẻ, dễ tiếp cận, Mã QR đi kèm video hậu trường/ behind the scenes",,,,,100 đến 500 bản,1 triệu đến 2 triệu
24/05/2025 12:41:44,Từ 18 đến 30 tuổi,Nữ,Miền Bắc,"Pop, Ballad","Câu hỏi dạng mở, thu thập thông tin tốt nhưng người trả lời dễ trả lời lời sơ sài, gợi ý gợi mở thêm đằng sau: Bạn biết đến SpaceSpeakers qua những thông tin nào? (qua nghệ sĩ trực thuộc, sản phẩm âm nhạc, sự kiện, MXH,...?)",.,.,"Content trên các nền tảng số (video, podcast, vlog... trên các nền tảng trực tuyến)",Anh trai vượt ngàn chông gai,"Soobin Hoàng Sơn, Rhymastic, Binz, JustaTee, Viết đầy đủ là SSLabel cho chuyên nghiệp hơn nha","Câu này nên tách thành 2 câu đơn. 
Câu 1 sẽ hỏi Là một người hâm mộ, bạn có thường xuyên theo dõi và mong chờ sản phẩm tiếp theo của nghệ sĩ đó không?
Có
Không
(để ô trống chọn một trong hai đáp án)
Câu 2: Nếu có, bạn mong chờ sản phẩm đó như thế nào? (Ví dụ: thể loại nhạc, nội dung MV, phong cách mới, v.v... 
(như này sẽ thu thập thêm được thông tin từ người trả lời hơn)
",,Đĩa CD,,.,Có thể mua thử,Ủng hộ nghệ sĩ yêu thích,,,,thay từ ra mắt bằng phát hành,Thêm một mục: Có thể đặt trước (pre - order) dễ dàng. Thay cách đặt câu hỏi: Bạn sẽ sẵn sàng mua album vật lý của SpaceSpeakers nếu có những yếu tố nào ?,,,,,500 đến 1000 bản,500k đến 1 triệu
24/05/2025 14:29:57,Trên 30 tuổi,Nữ,Miền Bắc,Ballad,adfda,fadfa,Qua các sản phẩm trên các nền tảng giải trí số,Content trên các nền tảng số,SOHO FEST,Soobin Hoàng Sơn,àddfa,,Đĩa CD,Đĩa than,dfad,Có thể mua thử,Ủng hộ nghệ sĩ yêu thích,,,,Rất thú vị - sẽ mua ngay,"Có chữ ký nghệ sĩ, phiên bản giới hạn",,,,,Dưới 100 bản,1 triệu đến 2 triệu
24/05/2025 15:53:20,Từ 18 đến 30 tuổi,Nữ,Miền Bắc,Ballad,công ty sx âm nhạc,nhạc của Soobin Hoàng Sơn do hợp gu mibhf,"Mạng xã hội( facebook, instagram, twitter,... )",Content trên các nền tảng số,"Anh trai vượt ngàn chông gai, Rap Việt","Soobin Hoàng Sơn, JustaTee","mình có, mình mong chờ sp âm nhạc bùng nổ",,Đĩa CD,Đĩa than,mình thấy n cổ ,Có thể mua thử,"Giá trị sưu tầm, Thiết kế, hình thức sản phẩm",,,,Khá tò mò - sẽ cân nhắc,"Có quà tặng kèm( poster, stickers, photobook,etc.), Thiết kế bìa đẹp, độc đáo, bắt mắt",,,,,100 đến 500 bản,500k đến 1 triệu
24/05/2025 21:13:55,Trên 30 tuổi,lét bi ừn,Miền Trung,Ballad,idk,,1,Các concert và event,Anh trai vượt ngàn chông gai,Binz,,,Băng cassette,Băng cassette,idk,Không mua,2,2,2,2,Rất thú vị - sẽ mua ngay,1,1,1,1,1,500 đến 1000 bản,Trên 2 triệu
24/05/2025 21:14:13,Từ 18 đến 30 tuổi,Nữ,Miền Bắc,"Pop, Ballad, R&B",:))),Crying over you,"Mạng xã hội( facebook, instagram, twitter,... ), Qua các sản phẩm trên các nền tảng giải trí số","Merchandise( quần áo, phụ kiện, etc.), Các concert và event, Content trên các nền tảng số","Anh trai vượt ngàn chông gai, Rap Việt","Soobin Hoàng Sơn, Touliver, Rhymastic, Binz, JustaTee",Bùng nổ,,Đĩa CD,Đĩa CD,Kh biết,Có thể mua thử,1,3,1,1,Khá tò mò - sẽ cân nhắc,3,3,3,3,3,Dưới 100 bản,500k đến 1 triệu
24/05/2025 21:15:12,Từ 18 đến 30 tuổi,Nữ,Miền Bắc,Ballad,Công ty âm nhạc ,Các bài rap của ca sĩ trực thuộc- vì nhạc hay và bắt tai ,Qua các sản phẩm trên các nền tảng giải trí số,Content trên các nền tảng số,Rap Việt,"Rhymastic, Binz, JustaTee","Tôi có , tôi muốn những chương trình âm nhạc mang tính đột phá ",,Băng cassette,Băng cassette,Tôi thích ,Rất sẵn lòng,3,3,3,3,Khá tò mò - sẽ cân nhắc,3,3,3,3,3,100 đến 500 bản,1 triệu đến 2 triệu
24/05/2025 21:15:33,Từ 18 đến 30 tuổi,Nam,Miền Bắc,"Pop, R&B",Âm nhạc,Nghe nhiều,"Mạng xã hội( facebook, instagram, twitter,... )",Content trên các nền tảng số,Beck' Stage,Soobin Hoàng Sơn,,,Băng cassette,Băng cassette,Thích dùng cho đcoto,Rất sẵn lòng,1,1,1,1,Rất thú vị - sẽ mua ngay,5,5,5,5,5,100 đến 500 bản,Trên 2 triệu
24/05/2025 21:15:54,Dưới 18 tuổi,Nữ,Miền Bắc,"Pop, Ballad","SpaceSpeakers là một công ty giải trí kiêm cộng đồng âm nhạc được thành lập bởi Touliver, quy tụ nhiều nghệ sĩ nổi bật trong giới Underground và Mainstream tại Việt Nam như Binz, Rhymastic, Soobin Hoàng Sơn… Công ty chuyên sản xuất âm nhạc, tổ chức sự kiện và phát triển nghệ sĩ theo hướng hiện đại, cá tính và sáng tạo.","Tôi ấn tượng nhất với MV “Bigcityboi” của Binz vì ca khúc mang phong cách rap hiện đại, giai điệu catchy và phần hình ảnh được đầu tư kỹ lưỡng, thể hiện rõ chất riêng của SpaceSpeakers: vừa cá tính, vừa chuyên nghiệp, vừa có chất “quốc tế”. Bài hát không chỉ gây bão truyền thông mà còn tạo trend mạnh mẽ trên mạng xã hội.","Mạng xã hội( facebook, instagram, twitter,... )",Các concert và event,"Anh trai vượt ngàn chông gai, Rap Việt","Soobin Hoàng Sơn, Touliver, Rhymastic, Binz, SlimV, JustaTee",,,Băng cassette,Băng cassette,thích,Có thể mua thử,3,3,3,3,Rất thú vị - sẽ mua ngay,4,4,4,4,4,100 đến 500 bản,500k đến 1 triệu
